date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:50	1449/1449	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a9-596fc71662d80%22	https://preview.colorlib.com/theme/realestate2/img/svg_icon/square.svg	C:/Benim%20Web%20Sitem/realestate/preview.colorlib.com/theme/realestate2/img/svg_icon/square.svg	(from https://preview.colorlib.com/theme/realestate2/)
00:19:50	2591/2591	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a1f-596fc70fb5dc0%22	https://preview.colorlib.com/theme/realestate2/img/svg_icon/bed.svg	C:/Benim%20Web%20Sitem/realestate/preview.colorlib.com/theme/realestate2/img/svg_icon/bed.svg	(from https://preview.colorlib.com/theme/realestate2/)
00:19:50	3556/3556	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22de4-596fc70ec1b80%22	https://preview.colorlib.com/theme/realestate2/img/svg_icon/bath.svg	C:/Benim%20Web%20Sitem/realestate/preview.colorlib.com/theme/realestate2/img/svg_icon/bath.svg	(from https://preview.colorlib.com/theme/realestate2/)
00:19:51	169126/169126	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Nov%202019%2011:37:26%20GMT	https://preview.colorlib.com/theme/realestate2/img/property/x2.png.pagespeed.ic.Hg3IRCIkgE.jpg	C:/Benim%20Web%20Sitem/realestate/preview.colorlib.com/theme/realestate2/img/property/x2.png.pagespeed.ic.Hg3IRCIkgE.png	(from https://preview.colorlib.com/theme/realestate2/)
00:19:51	181254/181254	---M--	200	added ('OK')	image/png	etag:%222c406-596fc70814bc0%22	https://preview.colorlib.com/theme/realestate2/img/property/3.png	C:/Benim%20Web%20Sitem/realestate/preview.colorlib.com/theme/realestate2/img/property/3.png	(from https://preview.colorlib.com/theme/realestate2/)
00:19:51	129401/129401	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Nov%202019%2011:37:27%20GMT	https://preview.colorlib.com/theme/realestate2/img/property/x4.png.pagespeed.ic.YA2QlOgN90.jpg	C:/Benim%20Web%20Sitem/realestate/preview.colorlib.com/theme/realestate2/img/property/x4.png.pagespeed.ic.YA2QlOgN90.png	(from https://preview.colorlib.com/theme/realestate2/)
00:19:51	154324/154324	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Nov%202019%2011:37:28%20GMT	https://preview.colorlib.com/theme/realestate2/img/property/x5.png.pagespeed.ic.IM0VtLfx08.jpg	C:/Benim%20Web%20Sitem/realestate/preview.colorlib.com/theme/realestate2/img/property/x5.png.pagespeed.ic.IM0VtLfx08.png	(from https://preview.colorlib.com/theme/realestate2/)
00:19:52	149472/149472	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Nov%202019%2011:37:29%20GMT	https://preview.colorlib.com/theme/realestate2/img/property/x6.png.pagespeed.ic.RekR7Ge4b5.jpg	C:/Benim%20Web%20Sitem/realestate/preview.colorlib.com/theme/realestate2/img/property/x6.png.pagespeed.ic.RekR7Ge4b5.png	(from https://preview.colorlib.com/theme/realestate2/)
00:19:52	380737/380737	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Nov%202019%2011:36:02%20GMT	https://preview.colorlib.com/theme/realestate2/img/banner/xaccordion.png.pagespeed.ic.IWBWhGksgf.jpg	C:/Benim%20Web%20Sitem/realestate/preview.colorlib.com/theme/realestate2/img/banner/xaccordion.png.pagespeed.ic.IWBWhGksgf.png	(from https://preview.colorlib.com/theme/realestate2/)
00:19:52	427/427	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221ab-596fc7156eb40%22	https://preview.colorlib.com/theme/realestate2/img/svg_icon/quote.svg	C:/Benim%20Web%20Sitem/realestate/preview.colorlib.com/theme/realestate2/img/svg_icon/quote.svg	(from https://preview.colorlib.com/theme/realestate2/)
